Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
,85 - Swarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79 - Random, Focused, LastDamager, TopDamager, Nearest",,,,80,ID_CharacterTitle_Keerik_Killer,Keerik Killer,80 - CloakVoidMagic,79,,LEAD_PALETTE_TEMPLATE,,,,,,
,86 - Moar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 - Weakest, Nearest",,,,81,ID_CharacterTitle_Kingslayer,Kingslayer,81 - CloakWarMagic,80,,IRON_PALETTE_TEMPLATE,,,,,,
,87 - Enchanted Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81 - Random, Weakest, Nearest",,,,82,ID_CharacterTitle_Kiree_Killer,Kiree Killer,82 - CloakWeaponTinkering,81,,LITEGREEN_PALETTE_TEMPLATE,,,,,,
,88 - Sleech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82 - Focused, Weakest, Nearest",,,,83,ID_CharacterTitle_Knath_Andras_Assassinator,K'nath An'dras Assassinator,83 - CloakAssessCreature,82,,PINKPURPLE_PALETTE_TEMPLATE,,,,,,
,89 - Mukkir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83 - Random, Focused, Weakest, Nearest",,,,84,ID_CharacterTitle_Lakeman,Lakeman,84 - CloakDirtyFighting,83,,AMBER_PALETTE_TEMPLATE,,,,,,
,90 - Merwart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84 - LastDamager, Weakest, Nearest",,,,85,ID_CharacterTitle_Life_Adept,Life Adept,85 - CloakDualWield,84,Verdalim Plant,DYEDARKGREEN_PALETTE_TEMPLATE,,,,,,
,91 - Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85 - Random, LastDamager, Weakest, Nearest",,,,86,ID_CharacterTitle_Lightbringer,Lightbringer,86 - CloakRecklessness,85,Hennacin Plant,DYEDARKRED_PALETTE_TEMPLATE,,,,,,
,92 - Paradox Olthoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86 - Focused, LastDamager, Weakest, Nearest",,,,87,ID_CharacterTitle_Mace_Warrior,Mace Warrior,87 - CloakShield,86,Berimphur Plant,DYEDARKYELLOW_PALETTE_TEMPLATE,,,,,,
,94 - Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87 - Random, Focused, LastDamager, Weakest, Nearest",,,,88,ID_CharacterTitle_Man_At_Arms_Thrasher,Man-At-Arms Thrasher,88 - CloakSneakAttack,87,Fail Dye,DYEBOTCHED_PALETTE_TEMPLATE,,,,,,
,95 - Apparition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88 - TopDamager, Weakest, Nearest",,,,89,ID_CharacterTitle_Master_Fletcher,Master Fletcher,89 - Ninja_New,88,Lapyan Plant,DYEWINTERBLUE_PALETTE_TEMPLATE,,,,,,
,96 - Aerbax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89 - Random, TopDamager, Weakest, Nearest",,,,90,ID_CharacterTitle_Master_of_Slaughter,Master of Slaughter,90 - CloakSummoning,89,Minalim Plant,DYEWINTERGREEN_PALETTE_TEMPLATE,,,,,,
,97 - Touched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90 - Focused, TopDamager, Weakest, Nearest",,,,91,ID_CharacterTitle_Master_of_Staves,Master of Staves,91 - ShroudedSoul,90,Argenory Plant,DYEWINTERSILVER_PALETTE_TEMPLATE,,,,,,
,98 - Blighted Moarsman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91 - Random, Focused, TopDamager, Weakest, Nearest",,,,92,ID_CharacterTitle_Miner,Miner,92 - DarkenedMind,91,Colban Plant,DYESPRINGBLUE_PALETTE_TEMPLATE,,,,,,
,99 - Gear Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92 - LastDamager, TopDamager, Weakest, Nearest",,,,93,ID_CharacterTitle_Moarsman_Defiler,Moarsman Defiler,93 - CloudedSpirit,92,Relanim Plant,DYESPRINGPURPLE_PALETTE_TEMPLATE,,,,,,
,100 - Gurog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93 - Random, LastDamager, TopDamager, Weakest, Nearest",,,,94,ID_CharacterTitle_Morale_Smasher,Morale Smasher,94 - MinorStingingShroudedSoul,93,Thananim Plant,DYESPRINGBLACK_PALETTE_TEMPLATE,,,,,,
,101 - A'nekshay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94 - Focused, LastDamager, TopDamager, Weakest, Nearest",,,,95,ID_CharacterTitle_Mosswart_Worshipper_Whipper,Mosswart Worshipper Whipper,95 - MinorSparkingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95 - Random, Focused, LastDamager, TopDamager, Weakest, Nearest",,,,96,ID_CharacterTitle_Mottled_Carenzi_Mauler,Mottled Carenzi Mauler,96 - MinorSmolderingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96 - Strongest, Nearest",,,,97,ID_CharacterTitle_Mud_Slinger,Mud Slinger,97 - MinorShiveringShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97 - Random, Strongest, Nearest",,,,98,ID_CharacterTitle_Naughty_Skeleton_Snuffer,Naughty Skeleton Snuffer,98 - MinorStingingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98 - Focused, Strongest, Nearest",,,,99,ID_CharacterTitle_Olthoi_Ripper_Reducer,Olthoi Ripper Reducer,99 - MinorSparkingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99 - Random, Focused, Strongest, Nearest",,,,100,ID_CharacterTitle_Paragon_of_Death,Paragon of Death,100 - MinorSmolderingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 - LastDamager, Strongest, Nearest",,,,101,ID_CharacterTitle_Philanthropist,Philanthropist,101 - MinorShiveringDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101 - Random, LastDamager, Strongest, Nearest",,,,102,ID_CharacterTitle_Plate_Armoredillo_Punisher,Plate Armoredillo Punisher,102 - MinorStingingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102 - Focused, LastDamager, Strongest, Nearest",,,,103,ID_CharacterTitle_Platinum_Prowler,Platinum Prowler,103 - MinorSparkingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103 - Random, Focused, LastDamager, Strongest, Nearest",,,,104,ID_CharacterTitle_Polar_Ursuin_Pounder,Polar Ursuin Pounder,104 - MinorSmolderingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104 - TopDamager, Strongest, Nearest",,,,105,ID_CharacterTitle_Polardillo_Pummeler,Polardillo Pummeler,105 - MinorShiveringCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105 - Random, TopDamager, Strongest, Nearest",,,,106,ID_CharacterTitle_Pond_Scum,Pond Scum,106 - MajorStingingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106 - Focused, TopDamager, Strongest, Nearest",,,,107,ID_CharacterTitle_Pro_Fisherman,Pro Fisherman,107 - MajorSparkingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107 - Random, Focused, TopDamager, Strongest, Nearest",,,,108,ID_CharacterTitle_Projectilist,Projectilist,108 - MajorSmolderingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108 - LastDamager, TopDamager, Strongest, Nearest",,,,109,ID_CharacterTitle_Pugilist,Pugilist,109 - MajorShiveringShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109 - Random, LastDamager, TopDamager, Strongest, Nearest",,,,110,ID_CharacterTitle_Queenslayer,Queenslayer,110 - MajorStingingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110 - Focused, LastDamager, TopDamager, Strongest, Nearest",,,,111,ID_CharacterTitle_Ravenous_Killer,Ravenous Killer,111 - MajorSparkingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111 - Random, Focused, LastDamager, TopDamager, Strongest, Nearest",,,,112,ID_CharacterTitle_Red_Fury,Red Fury,112 - MajorSmolderingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112 - Weakest, Strongest, Nearest",,,,113,ID_CharacterTitle_Reeshan_Killer,Reeshan Killer,113 - MajorShiveringDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113 - Random, Weakest, Strongest, Nearest",,,,114,ID_CharacterTitle_Rehir_Killer,Rehir Killer,114 - MajorStingingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114 - Focused, Weakest, Strongest, Nearest",,,,115,ID_CharacterTitle_Repugnant_Eater_Ripper,Repugnant Eater Ripper,115 - MajorSparkingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 - Random, Focused, Weakest, Strongest, Nearest",,,,116,ID_CharacterTitle_Resistance_Fighter,Resistance Fighter,116 - MajorSmolderingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116 - LastDamager, Weakest, Strongest, Nearest",,,,117,ID_CharacterTitle_Resistance_Recruit,Resistance Recruit,117 - MajorShiveringCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117 - Random, LastDamager, Weakest, Strongest, Nearest",,,,118,ID_CharacterTitle_Servant_of_The_Deep,Servant of The Deep,118 - BlackfireStingingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118 - Focused, LastDamager, Weakest, Strongest, Nearest",,,,119,ID_CharacterTitle_Sezzherei_Slayer,Sezzherei Slayer,119 - BlackfireSparkingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119 - Random, Focused, LastDamager, Weakest, Strongest, Nearest",,,,120,ID_CharacterTitle_Shadow_Stalker,Shadow Stalker,120 - BlackfireSmolderingShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120 - TopDamager, Weakest, Strongest, Nearest",,,,121,ID_CharacterTitle_Shallows_Shark_Nemesis,Shallows Shark Nemesis,121 - BlackfireShiveringShroudedSoul,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121 - Random, TopDamager, Weakest, Strongest, Nearest",,,,122,ID_CharacterTitle_Sharpshooter,Sharpshooter,122 - BlackfireStingingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122 - Focused, TopDamager, Weakest, Strongest, Nearest",,,,123,ID_CharacterTitle_Shellfish_Hater,Shellfish Hater,123 - BlackfireSparkingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123 - Random, Focused, TopDamager, Weakest, Strongest, Nearest",,,,124,ID_CharacterTitle_Shield_of_Glenden,Shield of Glenden,124 - BlackfireSmolderingDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124 - LastDamager, TopDamager, Weakest, Strongest, Nearest",,,,125,ID_CharacterTitle_Shredder,Shredder,125 - BlackfireShiveringDarkenedMind,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125 - Random, LastDamager, TopDamager, Weakest, Strongest, Nearest",,,,126,ID_CharacterTitle_Silver_Serf,Silver Serf,126 - BlackfireStingingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126 - Focused, LastDamager, TopDamager, Weakest, Strongest, Nearest",,,,127,ID_CharacterTitle_Siraluun_Slasher,Siraluun Slasher,127 - BlackfireSparkingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127 - Random, Focused, LastDamager, TopDamager, Weakest, Strongest, Nearest",,,,128,ID_CharacterTitle_Skipper,Skipper,128 - BlackfireSmolderingCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,ID_CharacterTitle_Skullcrusher,Skullcrusher,129 - BlackfireShiveringCloudedSpirit,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,ID_CharacterTitle_Skullsplitter,Skullsplitter,130 - ShimmeringShadowsSet,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,ID_CharacterTitle_Slicer,Slicer,131 - BrownSocietyLocket,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,ID_CharacterTitle_Sniper,Sniper,132 - YellowSocietyLocket,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,ID_CharacterTitle_Soldier_Slaughterer,Soldier Slaughterer,133 - RedSocietyBand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,ID_CharacterTitle_Spear_Warrior,Spear Warrior,134 - GreenSocietyBand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,ID_CharacterTitle_Spring_Cleaner,Spring Cleaner,135 - PurpleSocietyBand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,ID_CharacterTitle_Staff_Warrior,Staff Warrior,136 - BlueSocietyBand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,ID_CharacterTitle_Stonebreaker,Stonebreaker,137 - GauntletGarb,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,ID_CharacterTitle_Sureshot,Sureshot,138 - ParagonMissile,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,ID_CharacterTitle_Swordfighter,Swordfighter,139 - ParagonCaster,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,ID_CharacterTitle_Theurgist,Theurgist,140 - ParagonMelee,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,ID_CharacterTitle_Thrungus_Reaper,Thrungus Reaper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,ID_CharacterTitle_Timberman,Timberman,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,ID_CharacterTitle_Tracker,Tracker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,ID_CharacterTitle_Trapper,Trapper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,ID_CharacterTitle_Tukora_Lieutenant_Trouncer,Tukora Lieutenant Trouncer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,ID_CharacterTitle_Unarmed_Brawler,Unarmed Brawler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,ID_CharacterTitle_Violator_Grievver_Vetoer,Violator Grievver Vetoer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,ID_CharacterTitle_Voracious_Flayer,Voracious Flayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,ID_CharacterTitle_Voracious_Hunter,Voracious Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,ID_CharacterTitle_War_Adept,War Adept,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,ID_CharacterTitle_Warden_of_Dereth,Warden of Dereth,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,ID_CharacterTitle_Warlock,Warlock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,ID_CharacterTitle_Warlord_of_Dereth,Warlord of Dereth,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,ID_CharacterTitle_Warrior_Vanquisher,Warrior Vanquisher,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,ID_CharacterTitle_Wicked_Skeleton_Walloper,Wicked Skeleton Walloper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,ID_CharacterTitle_Windreave_Stalker,Windreave Stalker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,ID_CharacterTitle_Worker_Obliterator,Worker Obliterator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,ID_CharacterTitle_Dryreach_Militia,Dryreach Militia,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,ID_CharacterTitle_Honorary_Shadow_Hunter,Honorary Shadow Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,ID_CharacterTitle_Perforated_Knight,Perforated Knight,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,ID_CharacterTitle_Pest_Control,Pest Control,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,ID_CharacterTitle_Rat_Reaper,Rat Reaper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,ID_CharacterTitle_Nymph_Maniac,Nymph Maniac,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,ID_CharacterTitle_SimiuS,\$imiu\$,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,ID_CharacterTitle_Second_Place_Lore_Quiz_Night,2nd Place Lore- Quiz Night,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,ID_CharacterTitle_AC_Veteran,AC Veteran,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,ID_CharacterTitle_Aint_afraid_of_no_ghost,Ain't afraid of no ghost!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,ID_CharacterTitle_Aint_afraid_of_no_ghost_two,Ain't afraid of no ghost,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,ID_CharacterTitle_Aint_afraid_of_no_ghost_three,Ain't afraid of no ghost..mwahaha!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,ID_CharacterTitle_Ankle_Biter,Ankle Biter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,ID_CharacterTitle_Annoying_Furry_Talking_Animal,Annoying Furry Talking Animal,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,ID_CharacterTitle_Archer_Assassin,Archer Assassin,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,ID_CharacterTitle_Archmage,Archmage,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,ID_CharacterTitle_Asherons_Call_God,Asheron's Call God,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,ID_CharacterTitle_Avatar_of_Kain,Avatar of Kain,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,ID_CharacterTitle_Azure_Assailant,Azure Assailant,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,ID_CharacterTitle_Baby_Bunny_Master,Baby Bunny Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,ID_CharacterTitle_Baron_Oddity,Baron Oddity,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,ID_CharacterTitle_Beginning_of_the_End,Beginning of the End,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,ID_CharacterTitle_Best_Melee_in_DT,Best Melee in DT,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,ID_CharacterTitle_Big_Block,Big Block,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,ID_CharacterTitle_Big_Rocx,Big Rocx,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,ID_CharacterTitle_Blood,Blood,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,ID_CharacterTitle_Bounty_Hunter,Bounty Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,ID_CharacterTitle_British_Tootsie,British Tootsie,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,ID_CharacterTitle_Bug_Bait,Bug Bait,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,ID_CharacterTitle_Bunny_Killer,Bunny Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,ID_CharacterTitle_Carebear_Stare,Carebear Stare,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,ID_CharacterTitle_Certified_Ganksta,Certified Ganksta,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,ID_CharacterTitle_Chicken_Nugget,Chicken Nugget,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,ID_CharacterTitle_Chicken_Select,Chicken Select,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,ID_CharacterTitle_Chimaeras_Champion,Chimaera's Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,ID_CharacterTitle_Co_Monarch_of_TheChosen,Co-Monarch of TheChosen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,ID_CharacterTitle_Containment_Unit,Containment Unit,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,ID_CharacterTitle_Coolest_Title_Ever,Coolest Title Ever!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,ID_CharacterTitle_Corrosive_Soul,Corrosive Soul,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,ID_CharacterTitle_Cow_Killer,Cow Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,ID_CharacterTitle_Cowboy,Cowboy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,ID_CharacterTitle_Crystal_Lord_King,Crystal Lord King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,ID_CharacterTitle_Cuddly_Kitten,Cuddly Kitten >\^..\^<,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,ID_CharacterTitle_Curmudgeons_Friend,Curmudgeon's Friend,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,ID_CharacterTitle_Cursed_Adventurer,Cursed Adventurer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,ID_CharacterTitle_Dagger_Master,Dagger Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,ID_CharacterTitle_Dark_Sword_Lady,Dark Sword Lady,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,ID_CharacterTitle_Darktides_Finest,Darktides Finest,,,,,,,,,,
